,intervention_name,algorithm,decay,total_cell_count,cell_count_rank
EG_Ceramide_S1P_1_3,Ceramide->S1P=1,EG,3,198210.66666666666,9.0
EG_GAP_RAS_1_3,GAP->RAS=1,EG,3,328134.3333333334,22.0
EG_IL15_GAP_0_3,IL15->GAP=0,EG,3,335035.6666666667,23.0
EG_IL2RBT_IL2RB_0_3,IL2RBT->IL2RB=0,EG,3,297035.3333333333,19.0
EG_IL2RB_MCL1_0_3,IL2RB->MCL1=0,EG,3,271671.0,17.0
EG_JAK_STAT3_0_3,JAK->STAT3=0,EG,3,295012.6666666667,18.0
EG_MCL1_BID_0_3,MCL1->BID=0,EG,3,271363.3333333333,16.0
EG_PDGFR_SPHK1_0_3,PDGFR->SPHK1=0,EG,3,201962.6666666667,11.0
EG_PI3K_ERK_0_3,PI3K->ERK=0,EG,3,311285.0,20.0
EG_RAS_MEK_0_3,RAS->MEK=0,EG,3,324240.3333333334,21.0
EG_S1P_PDGFR_0_3,S1P->PDGFR=0,EG,3,215422.33333333337,13.0
IB_anti_sFas_3,sFas=0,IB,3,1457730.3333333335,26.0
IB_pro_Ceramide_3,Ceramide=1,IB,3,169702.99999999997,2.0
IB_pro_DISC_3,DISC=1,IB,3,217176.3333333333,15.0
IB_pro_FasL_3,FasL=1,IB,3,1457549.3333333333,25.0
IB_pro_FasT_3,FasT=1,IB,3,1463189.3333333335,28.0
IB_pro_Fas_3,Fas=1,IB,3,1462181.0,27.0
IB_pro_TBET_3,TBET=1,IB,3,1453441.0,24.0
SM_anti_PDGFR_3,PDGFR=0,SM,3,215920.66666666666,14.0
SM_anti_S1P_3,S1P=0,SM,3,198756.33333333334,10.0
SM_anti_SPHK1_3,SPHK1=0,SM,3,207821.99999999997,12.0
SM_pro_Ceramidepro_GRB2_3,"Ceramide=1, GRB2=1",SM,3,173641.0,8.0
SM_pro_Ceramidepro_IL2RBT_3,"Ceramide=1, IL2RBT=1",SM,3,169775.66666666666,3.0
SM_pro_Ceramidepro_IL2RB_3,"Ceramide=1, IL2RB=1",SM,3,173149.33333333334,6.0
SM_pro_Ceramidepro_PI3Kpro_ERK_3,"Ceramide=1, PI3K=1, ERK=1",SM,3,172817.0,5.0
SM_pro_Ceramidepro_PI3Kpro_MEK_3,"Ceramide=1, PI3K=1, MEK=1",SM,3,169476.66666666666,1.0
SM_pro_Ceramidepro_RAS_3,"Ceramide=1, RAS=1",SM,3,171571.0,4.0
SM_pro_TBETpro_Ceramidepro_ERK_3,"TBET=1, Ceramide=1, ERK=1",SM,3,173230.0,7.0
